sample;num_crispr_arrays;average_crispr_length;average_AT;percent_plus_orientation;percent_minus_orientation
GCF_005217525.1_ASM521752v1_genomic.fasta;14;212.36;53.25;44.44;55.56
GCA_017161565.1_ASM1716156v1_genomic.fasta;4;1184.75;46.42;25.0;75.0
GCF_036419155.1_ASM3641915v1_genomic.fasta;4;1405.25;61.8;33.33;66.67
GCA_014654365.1_ASM1465436v1_genomic.fasta;10;109.3;30.95;50.0;50.0
GCF_005144505.2_ASM514450v2_genomic.fasta;1;79;40.79;0.0;100.0
GCF_002813755.1_ASM281375v1_genomic.fasta;1;113;61.81;100.0;0.0
GCF_025583665.1_ASM2558366v1_genomic.fasta;3;147;29.1;50.0;50.0
GCA_900105565.1_IMG-taxon_2667528178_annotated_assembly_genomic.fasta;6;152;38.64;60.0;40.0
GCF_035921825.1_ASM3592182v1_genomic.fasta;4;100.75;39.18;0.0;100.0
GCF_002860355.1_ASM286035v1_genomic.fasta;22;296.77;38.09;46.67;53.33
GCA_016027455.1_ASM1602745v1_genomic.fasta;0;0.0;32.86;0.0;0.0
GCA_900101905.1_IMG-taxon_2619619029_annotated_assembly_genomic.fasta;25;231.64;30.79;50.0;50.0
GCF_001605725.1_ASM160572v1_genomic.fasta;3;158;35.73;0.0;0.0
GCA_000816085.1_ASM81608v1_genomic.fasta;2;532.5;64.42;100.0;0.0
GCF_034661315.1_ASM3466131v1_genomic.fasta;1;331;44.39;100.0;0.0
GCA_014647395.1_ASM1464739v1_genomic.fasta;16;134.44;61.58;60.0;40.0
GCF_009496975.1_ASM949697v1_genomic.fasta;2;859;64.85;50.0;50.0
GCF_001029105.3_ASM102910v3_genomic.fasta;3;106;36.55;0.0;100.0
GCA_937921215.1_ERR912144_bin.107_CONCOCT_v1.1_MAG_genomic.fasta;2;701.5;47.32;100.0;0.0
GCA_000750005.2_ASM75000v2_genomic.fasta;30;408.4;48.53;57.14;42.86
GCF_001605015.1_ASM160501v1_genomic.fasta;2;86.5;36.86;50.0;50.0
GCA_015645445.1_ASM1564544v1_genomic.fasta;21;113.29;30.23;50.0;50.0
GCF_002156025.1_ASM215602v1_genomic.fasta;12;127.33;28.85;80.0;20.0
GCF_009811315.1_ASM981131v1_genomic.fasta;1;82;56.1;100.0;0.0
GCA_018687595.1_ASM1868759v1_genomic.fasta;0;0.0;53.53;0.0;0.0
GCF_003501185.1_ASM350118v1_genomic.fasta;8;517;52.74;28.57;71.43
GCA_900187315.1_52087_C01_genomic.fasta;1;121;63.65;0.0;0.0
GCA_014650175.1_ASM1465017v1_genomic.fasta;23;227.43;26.18;55.56;44.44
GCA_019670485.1_ASM1967048v1_genomic.fasta;2;206.5;55.98;0.0;100.0
GCA_014649655.1_ASM1464965v1_genomic.fasta;13;166.38;28.27;66.67;33.33
GCA_902381655.1_UHGG_MGYG-HGUT-01348_genomic.fasta;4;184.25;66.26;25.0;75.0
GCF_030710225.1_ASM3071022v1_genomic.fasta;3;234.67;60.83;100.0;0.0
GCA_022453865.1_ASM2245386v1_genomic.fasta;3;209;43.7;0.0;100.0
GCA_016919345.1_ASM1691934v1_genomic.fasta;4;124.5;33.2;100.0;0.0
GCA_013376245.1_ASM1337624v1_genomic.fasta;3;82.67;38.15;100.0;0.0
GCA_900114045.1_IMG-taxon_2687453775_annotated_assembly_genomic.fasta;6;115.33;60.54;50.0;50.0
GCF_029215585.1_ASM2921558v1_genomic.fasta;5;120;37.7;66.67;33.33
GCF_009727065.1_ASM972706v1_genomic.fasta;21;435.67;42.5;54.55;45.45
GCA_900220985.1_IMG-taxon_2740891889_annotated_assembly_genomic.fasta;0;0.0;38.94;0.0;0.0
GCA_014192255.1_ASM1419225v1_genomic.fasta;2;107.5;43.0;0.0;100.0
GCF_002072065.1_ASM207206v1_genomic.fasta;4;215.25;50.89;25.0;75.0
GCF_004803795.1_ASM480379v1_genomic.fasta;8;866.12;55.28;42.86;57.14
GCF_002742165.1_ASM274216v1_genomic.fasta;3;891;33.06;100.0;0.0
GCA_010671725.1_ASM1067172v1_genomic.fasta;0;0.0;36.59;0.0;0.0
GCF_003330745.1_ASM333074v1_genomic.fasta;1;100;38.07;0.0;0.0
GCA_021502835.1_ASM2150283v1_genomic.fasta;11;180.55;28.51;75.0;25.0
GCA_900289175.1_PRJEB24604_genomic.fasta;10;687.1;55.29;0.0;100.0
